"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"0.125Wresistor","DIL","","","","","","R2 R3 R1 R4 Ri Rf R5 RS R6 R7 R8 R9 R10 R11","14"
"1N914","MISC","","","","","","D2","1"
"12-key Common Terminal Keypad","DIP","","","","","","KEY1","1"
"Camera Module","MISC","","","","","","CAM1","1"
"Capacitor","C","0.1uF","","","","","C16","1"
"Capacitor","C","0.33uF","","","","","C15","1"
"Capacitor","C","1 micro F","","","","","C17","1"
"Capacitor(Tantalum)","C","4.7uF","","","","","Cb","1"
"Ceramic","C","","","","","","C13 C14 C7 C8 C4 C6 C9 C3 C5 C10 C11","11"
"Ceramic0.2","C","","","","","","CsDAC Ci CsShift1 CsShift2 CsAMP","5"
"Electret Microphone Amplifier","SIP","","","","","","M1","1"
"ESO8266","SIP","","","","","","U8","1"
"Header2","SIP","","","","","","jumper","1"
"Header5","SIP","","","","","","J1","1"
"HeadphoneJack","MISC","","","","","","J6","1"
"JST-VH Right Angle 3.96MM","SIP","","","","","","J2","1"
"KSC353JLFG","SM","","","","","","SW1","1"
"L7805CV","TO-220","","","","","","U10","1"
"LEDT1.75","SIP","","","","","","D1 LEDred LEDgreen","3"
"LM4041","MISC","","","","","","U6","1"
"LogicAnalyzer","DIP","","","","","","J3","1"
"LP2950CZ-3.3","TO220","","","","","","U2","1"
"MM74HC165","DIP16","","","","","","U3 U4","2"
"OffBoardPowerSwitch","DIP","","","","","","SW2","1"
"OffBoardSwitch","DIP","","","","","","SW3","1"
"PN2222","TO92","","","","","","Q1","1"
"SM-S2309S","SIP","","","","","","S1","1"
"Speaker","DIP","","","","","","J7","1"
"ST7735","LCD","","","","","","J4","1"
"tantalum","C","","","","","","C12 C2 C1","3"
"testpoint","BIG","","","","","","BAT LCDgnd LCDVcc Gnd","4"
"testpoint","BIG","3.3V","","","","","TP3V2","1"
"testpoint","BIG","5V","","","","","TP5V2","1"
"Testpoint_TwoHole","DIL","","","","","","GndTP TP3V","2"
"Testpoint_TwoHole","DIL","5V","","","","","TP5V","1"
"TLV5616","DIP","","","","","","U5","1"
"TM4C123GH6PM","LQFP","","","","","","U1","1"
"TPA731","SM","","","","","","U7","1"
"USB_Micro-B_SM","SM","","","","","","J5","1"
"XTAL","NX5032","","","","","","Y1","1"
"","","","","","","","","76"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
